         601965921 function calls (599366529 primitive calls) in 540.396 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      643    0.003    0.000    0.890    0.001 base.py:3983(_coerce_scalar_to_index)
        8    0.000    0.000    0.890    0.111 __init__.py:4(<module>)
      660    0.007    0.000    0.876    0.001 multi.py:451(from_tuples)
      660    0.007    0.000    0.864    0.001 multi.py:385(from_arrays)
    62734    0.208    0.000    0.861    0.000 generic.py:3591(_check_is_chained_assignment_possible)
   311793    0.327    0.000    0.850    0.000 base.py:64(__set__)
   110360    0.236    0.000    0.840    0.000 indexers.py:258(length_of_indexer)
  1777692    0.539    0.000    0.832    0.000 common.py:180(<lambda>)
   267638    0.359    0.000    0.831    0.000 common.py:608(is_dtype_equal)
   623146    0.536    0.000    0.829    0.000 base.py:38(__set__)
   284099    0.342    0.000    0.820    0.000 frame.py:1099(__len__)
    23437    0.059    0.000    0.811    0.000 base.py:3197(_convert_listlike_indexer)
      660    0.004    0.000    0.810    0.001 categorical.py:2703(factorize_from_iterables)
     1980    0.002    0.000    0.806    0.000 categorical.py:2725(<genexpr>)
     1320    0.007    0.000    0.804    0.001 categorical.py:2665(factorize_from_iterable)
  2901847    0.794    0.000    0.794    0.000 {pandas._libs.lib.is_scalar}
     7270    0.056    0.000    0.791    0.000 zipfile.py:897(read)
     1350    0.017    0.000    0.783    0.001 categorical.py:303(__init__)
   173098    0.198    0.000    0.781    0.000 generic.py:5242(<lambda>)
    46912    0.482    0.000    0.764    0.000 {method 'get_indexer' of 'pandas._libs.index.IndexEngine' objects}
   140676    0.197    0.000    0.757    0.000 _ufunc_config.py:438(__exit__)
    23437    0.030    0.000    0.741    0.000 base.py:3219(_convert_arr_indexer)
   825480    0.470    0.000    0.736    0.000 re.py:289(_compile)
    65300    0.339    0.000    0.736    0.000 frame.py:2869(__getitem__)
  5864541    0.735    0.000    0.735    0.000 {method 'end' of 'xml.etree.ElementTree.TreeBuilder' objects}
     7268    0.071    0.000    0.729    0.000 zipfile.py:979(_read1)
   109647    0.124    0.000    0.727    0.000 series.py:574(array)
  2825432    0.721    0.000    0.721    0.000 {built-in method builtins.hasattr}
  4142161    0.717    0.000    0.717    0.000 {pandas._libs.lib.is_integer}
    46139    0.083    0.000    0.717    0.000 common.py:566(is_string_dtype)
    23437    0.256    0.000    0.708    0.000 indexing.py:1257(_validate_read_indexer)
    62734    0.206    0.000    0.704    0.000 series.py:1032(_set_with_engine)
  5717508    0.694    0.000    0.694    0.000 read_only.py:108(value)
    70280    0.083    0.000    0.687    0.000 common.py:1541(_is_dtype)
       17    0.002    0.000    0.671    0.039 parsers.py:1196(read)
    48444    0.083    0.000    0.665    0.000 {built-in method builtins.any}
   110382    0.193    0.000    0.663    0.000 base.py:1182(name)
   516090    0.410    0.000    0.631    0.000 common.py:1733(pandas_dtype)
    24134    0.194    0.000    0.630    0.000 missing.py:235(_isna_string_dtype)
    70434    0.357    0.000    0.618    0.000 cast.py:1570(construct_1d_object_array_from_listlike)
   861682    0.452    0.000    0.610    0.000 _dtype.py:307(_name_includes_bit_suffix)
    24091    0.227    0.000    0.609    0.000 base.py:5800(_try_convert_to_int_array)
  2180404    0.605    0.000    0.605    0.000 managers.py:1584(_block)
   110363    0.220    0.000    0.603    0.000 cast.py:1700(convert_scalar_for_putitemlike)
   110360    0.259    0.000    0.602    0.000 indexers.py:68(is_scalar_indexer)
   173097    0.460    0.000    0.598    0.000 cast.py:1731(validate_numeric_casting)
   310537    0.289    0.000    0.595    0.000 functions.py:75(localname)
   111068    0.237    0.000    0.585    0.000 generic.py:3180(_set_as_cached)
   173098    0.253    0.000    0.583    0.000 managers.py:697(is_mixed_type)
    46880    0.069    0.000    0.579    0.000 {method 'sum' of 'numpy.ndarray' objects}
   109647    0.141    0.000    0.573    0.000 blocks.py:207(array_values)
   111647    0.263    0.000    0.573    0.000 <__array_function__ internals>:2(ndim)
   245944    0.379    0.000    0.572    0.000 blocks.py:2750(_extend_blocks)
   364763    0.569    0.000    0.569    0.000 {method 'clear' of 'xml.etree.ElementTree.Element' objects}
       17    0.002    0.000    0.563    0.033 parsers.py:2556(read)
  5863788    0.562    0.000    0.562    0.000 {method 'popleft' of 'collections.deque' objects}
    46912    0.063    0.000    0.553    0.000 base.py:1685(is_boolean)
   387007    0.296    0.000    0.553    0.000 common.py:422(is_timedelta64_dtype)
   161116    0.156    0.000    0.552    0.000 inference.py:185(is_array_like)
   110360    0.163    0.000    0.550    0.000 indexers.py:91(is_empty_indexer)
  5864541    0.545    0.000    0.545    0.000 {method 'append' of 'collections.deque' objects}
    24108    0.170    0.000    0.544    0.000 numeric.py:50(__new__)
    23466    0.410    0.000    0.537    0.000 base.py:1578(is_monotonic_increasing)
    24091    0.068    0.000    0.535    0.000 cast.py:1630(maybe_cast_to_integer_array)
    46078    0.045    0.000    0.534    0.000 common.py:595(condition)
   168959    0.187    0.000    0.524    0.000 common.py:750(is_signed_integer_dtype)
   131388    0.315    0.000    0.518    0.000 numpy_.py:162(__init__)
   216005    0.187    0.000    0.514    0.000 common.py:1296(is_float_dtype)
  1777692    0.514    0.000    0.514    0.000 common.py:178(classes)
    46880    0.033    0.000    0.510    0.000 _methods.py:45(_sum)
   281352    0.464    0.000    0.510    0.000 _ufunc_config.py:132(geterr)
   244202    0.287    0.000    0.505    0.000 generic.py:471(ndim)
  2759100    0.503    0.000    0.503    0.000 read_only.py:112(value)
    47611    0.062    0.000    0.501    0.000 base.py:2000(inferred_type)
    62734    0.124    0.000    0.493    0.000 blocks.py:2778(_safe_reshape)
    24248    0.032    0.000    0.490    0.000 common.py:598(is_excluded_dtype)
    23544    0.145    0.000    0.486    0.000 base.py:4199(equals)
  2695252    0.482    0.000    0.482    0.000 {built-in method builtins.callable}
   356310    0.368    0.000    0.477    0.000 generic.py:3250(_clear_item_cache)
  1878107    0.476    0.000    0.476    0.000 _xlrd.py:60(_parse_cell)
   751173    0.302    0.000    0.473    0.000 common.py:188(<lambda>)
    46874    0.064    0.000    0.468    0.000 missing.py:136(dispatch_fill_zeros)
   110360    0.257    0.000    0.466    0.000 range.py:349(get_loc)
   825398    0.448    0.000    0.448    0.000 {method 'search' of 're.Pattern' objects}
   111003    0.207    0.000    0.440    0.000 frame.py:3162(_ensure_valid_index)
   699115    0.434    0.000    0.434    0.000 blocks.py:135(_check_ndim)
    23435    0.031    0.000    0.434    0.000 series.py:1525(iteritems)
   254/37    0.002    0.000    0.434    0.012 <frozen importlib._bootstrap>:1002(_find_and_load)
   238/22    0.002    0.000    0.432    0.020 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
       18    0.000    0.000    0.426    0.024 _optional.py:61(import_optional_dependency)
    19/18    0.000    0.000    0.426    0.024 __init__.py:109(import_module)
    19/18    0.000    0.000    0.425    0.024 <frozen importlib._bootstrap>:1018(_gcd_import)
    24128    0.048    0.000    0.425    0.000 <__array_function__ internals>:2(array_equal)
    213/5    0.002    0.000    0.424    0.085 <frozen importlib._bootstrap>:659(_load_unlocked)
   331080    0.298    0.000    0.424    0.000 indexing.py:663(<genexpr>)
    208/5    0.001    0.000    0.424    0.085 <frozen importlib._bootstrap_external>:784(exec_module)
    73218    0.046    0.000    0.420    0.000 _methods.py:53(_any)
   441777    0.297    0.000    0.420    0.000 range.py:687(__len__)
    96992    0.049    0.000    0.419    0.000 common.py:603(<genexpr>)
    244/5    0.000    0.000    0.409    0.082 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
  2007740    0.408    0.000    0.408    0.000 blocks.py:201(internal_values)
    23435    0.204    0.000    0.404    0.000 indexing.py:925(_is_scalar_access)
    23435    0.132    0.000    0.404    0.000 missing.py:73(mask_zero_div_zero)
    23435    0.046    0.000    0.403    0.000 series.py:1496(items)
1639596/1639512    0.400    0.000    0.401    0.000 {built-in method builtins.hash}
   317953    0.229    0.000    0.398    0.000 cast.py:1595(construct_1d_ndarray_preserving_na)
   928605    0.271    0.000    0.397    0.000 base.py:229(__get__)
  2759273    0.386    0.000    0.386    0.000 {method 'upper' of 'str' objects}
      106    0.001    0.000    0.385    0.004 frame.py:441(__init__)
     4020    0.004    0.000    0.382    0.000 dtypes.py:163(__init__)
     7268    0.379    0.000    0.379    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     4020    0.007    0.000    0.378    0.000 dtypes.py:312(_finalize)
  2822158    0.373    0.000    0.373    0.000 timemachine.py:19(<lambda>)
   825539    0.370    0.000    0.370    0.000 {method 'sub' of 're.Pattern' objects}
     2700    0.017    0.000    0.369    0.000 dtypes.py:465(validate_categories)
     1333    0.022    0.000    0.366    0.000 algorithms.py:518(factorize)
   861682    0.365    0.000    0.365    0.000 _dtype.py:24(_kind_name)
   144847    0.145    0.000    0.364    0.000 common.py:806(is_unsigned_integer_dtype)
    47530    0.063    0.000    0.359    0.000 {built-in method builtins.iter}
   418752    0.270    0.000    0.358    0.000 managers.py:216(ndim)
  2229749    0.355    0.000    0.355    0.000 {pandas._libs.lib.is_float}
   319266    0.355    0.000    0.355    0.000 {pandas._libs.lib.infer_datetimelike_array}
   121808    0.355    0.000    0.355    0.000 {built-in method numpy.empty}
       16    0.007    0.000    0.351    0.022 book.py:1203(parse_globals)
    21800    0.083    0.000    0.347    0.000 base.py:701(take)
   825384    0.345    0.000    0.345    0.000 read_only.py:54(style_array)
    26341    0.161    0.000    0.339    0.000 algorithms.py:1511(_get_take_nd_function)
        3    0.000    0.000    0.333    0.111 workbook.py:3(<module>)
   361482    0.237    0.000    0.332    0.000 common.py:905(is_datetime64_any_dtype)
    48236    0.051    0.000    0.328    0.000 {method 'all' of 'numpy.ndarray' objects}
    24128    0.141    0.000    0.327    0.000 numeric.py:2387(array_equal)
    49783    0.053    0.000    0.323    0.000 {method 'any' of 'numpy.ndarray' objects}
  1243020    0.322    0.000    0.322    0.000 base.py:23(__set__)
   173191    0.162    0.000    0.317    0.000 managers.py:986(_consolidate_inplace)
    23453    0.028    0.000    0.315    0.000 nanops.py:322(_na_ok_dtype)
   173105    0.309    0.000    0.309    0.000 {pandas._libs.internals.get_blkno_placements}
   109614    0.170    0.000    0.308    0.000 numpy_.py:414(to_numpy)
       16    0.009    0.001    0.299    0.019 book.py:598(biff2_8_load)
    46922    0.160    0.000    0.296    0.000 base.py:1032(__iter__)
   605772    0.294    0.000    0.294    0.000 generic.py:365(_get_axis_number)
    93703    0.033    0.000    0.282    0.000 {built-in method builtins.setattr}
    48240    0.032    0.000    0.277    0.000 _methods.py:59(_all)
